iter	Passed	Remaining
888	2273	283
889	2274	281
890	2275	278
891	2276	275
892	2278	272
893	2279	270
894	2286	268
895	2287	265
896	2289	262
897	2291	260
898	2292	257
899	2293	254
900	2294	252
901	2303	250
902	2304	247
903	2306	244
904	2307	242
905	2308	239
906	2309	236
907	2311	234
908	2318	232
909	2320	229
910	2321	226
911	2322	224
912	2324	221
913	2325	218
914	2326	216
915	2335	214
916	2336	211
917	2337	208
918	2339	206
919	2340	203
920	2341	200
921	2349	198
922	2350	196
923	2351	193
924	2353	190
925	2354	188
926	2355	185
927	2356	182
928	2357	180
929	2364	177
930	2365	175
931	2366	172
932	2367	170
933	2368	167
934	2369	164
935	2370	162
936	2371	159
937	2372	156
938	2373	154
939	2380	151
940	2381	149
941	2382	146
942	2383	144
943	2384	141
944	2385	138
945	2386	136
946	2387	133
947	2388	131
948	2397	128
949	2399	126
950	2400	123
951	2401	121
952	2402	118
953	2403	115
954	2404	113
955	2409	110
956	2411	108
957	2413	105
958	2414	103
959	2414	100
960	2416	98
961	2416	95
962	2417	92
963	2418	90
964	2419	87
965	2427	85
966	2428	82
967	2429	80
968	2430	77
969	2430	75
970	2431	72
971	2432	70
972	2433	67
973	2434	64
974	2434	62
975	2435	59
976	2442	57
977	2443	54
978	2444	52
979	2445	49
980	2445	47
981	2446	44
982	2447	42
983	2448	39
984	2449	37
985	2449	34
986	2450	32
987	2451	29
988	2453	27
989	2454	24
990	2455	22
991	2456	19
992	2456	17
993	2457	14
994	2458	12
995	2467	9
996	2472	7
997	2477	4
998	2486	2
999	2487	0
